defect_edge,defect_r,defect_x,defect_x1,defect_x2,defect_y,defect_y1,defect_y2,filename,label,num_layers
,,,,,,,,img_0.png,clean,20
bottom,,114,,,256,,,img_1.png,chip,10
,,,,,,,,img_2.png,clean,20
,6,28,,,27,,,img_3.png,void,19
,,,13,54,,101,134,img_4.png,scratch,13
,14,76,,,134,,,img_5.png,void,18
,,,,,,,,img_6.png,clean,14
,7,107,,,91,,,img_7.png,void,12
top,,47,,,0,,,img_8.png,chip,13
top,,235,,,0,,,img_9.png,chip,15
left,,0,,,98,,,img_10.png,chip,18
top,,119,,,0,,,img_11.png,chip,13
bottom,,189,,,256,,,img_12.png,chip,17
,,,,,,,,img_13.png,clean,14
,,,125,134,,83,81,img_14.png,scratch,19
,,,166,145,,28,-18,img_15.png,scratch,20
top,,108,,,0,,,img_16.png,chip,16
,7,184,,,137,,,img_17.png,void,17
,,,126,171,,134,158,img_18.png,scratch,14
,7,112,,,76,,,img_19.png,void,19
,5,43,,,213,,,img_20.png,void,18
,,,81,107,,216,174,img_21.png,scratch,11
,13,155,,,84,,,img_22.png,void,16
,,,,,,,,img_23.png,clean,10
left,,0,,,57,,,img_24.png,chip,20
,,,,,,,,img_25.png,clean,17
,,,54,85,,152,166,img_26.png,scratch,14
,,,191,210,,82,131,img_27.png,scratch,13
right,,256,,,9,,,img_28.png,chip,10
,,,29,51,,123,83,img_29.png,scratch,14
,,,,,,,,img_30.png,clean,17
,,,65,85,,243,214,img_31.png,scratch,18
,8,74,,,158,,,img_32.png,void,18
,10,191,,,186,,,img_33.png,void,14
,8,50,,,83,,,img_34.png,void,17
top,,117,,,0,,,img_35.png,chip,11
,,,,,,,,img_36.png,clean,20
,,,,,,,,img_37.png,clean,13
top,,121,,,0,,,img_38.png,chip,10
,,,242,292,,124,134,img_39.png,scratch,13
,,,,,,,,img_40.png,clean,13
,11,110,,,128,,,img_41.png,void,11
,,,,,,,,img_42.png,clean,17
,,,,,,,,img_43.png,clean,20
,6,206,,,106,,,img_44.png,void,10
,,,97,64,,229,233,img_45.png,scratch,13
,12,83,,,39,,,img_46.png,void,14
,,,,,,,,img_47.png,clean,18
,,,,,,,,img_48.png,clean,10
,,,85,97,,208,219,img_49.png,scratch,11
,,,,,,,,img_50.png,clean,16
,9,20,,,119,,,img_51.png,void,12
right,,256,,,249,,,img_52.png,chip,17
,,,,,,,,img_53.png,clean,13
,,,,,,,,img_54.png,clean,19
,,,,,,,,img_55.png,clean,15
,7,148,,,155,,,img_56.png,void,10
,,,,,,,,img_57.png,clean,10
,,,,,,,,img_58.png,clean,12
,,,,,,,,img_59.png,clean,19
,,,206,228,,61,42,img_60.png,scratch,20
,,,,,,,,img_61.png,clean,19
,,,,,,,,img_62.png,clean,19
left,,0,,,104,,,img_63.png,chip,16
,,,153,143,,234,280,img_64.png,scratch,16
,6,179,,,164,,,img_65.png,void,10
,,,135,129,,67,25,img_66.png,scratch,11
bottom,,224,,,256,,,img_67.png,chip,15
,,,,,,,,img_68.png,clean,20
top,,68,,,0,,,img_69.png,chip,20
,,,139,166,,144,120,img_70.png,scratch,18
,,,135,117,,250,206,img_71.png,scratch,15
,5,232,,,90,,,img_72.png,void,20
bottom,,134,,,256,,,img_73.png,chip,10
,6,163,,,22,,,img_74.png,void,18
,,,18,42,,189,209,img_75.png,scratch,11
,,,21,17,,157,112,img_76.png,scratch,16
,,,52,101,,181,202,img_77.png,scratch,13
,,,121,93,,83,85,img_78.png,scratch,19
right,,256,,,127,,,img_79.png,chip,12
,8,29,,,140,,,img_80.png,void,11
,8,109,,,98,,,img_81.png,void,13
,,,,,,,,img_82.png,clean,13
,,,204,189,,168,126,img_83.png,scratch,20
,13,193,,,235,,,img_84.png,void,15
,,,,,,,,img_85.png,clean,15
bottom,,135,,,256,,,img_86.png,chip,11
left,,0,,,223,,,img_87.png,chip,16
top,,223,,,0,,,img_88.png,chip,13
,,,186,144,,220,255,img_89.png,scratch,18
top,,153,,,0,,,img_90.png,chip,19
,13,198,,,95,,,img_91.png,void,15
,,,215,251,,194,239,img_92.png,scratch,12
right,,256,,,0,,,img_93.png,chip,19
right,,256,,,226,,,img_94.png,chip,16
,7,223,,,223,,,img_95.png,void,18
,,,,,,,,img_96.png,clean,20
top,,120,,,0,,,img_97.png,chip,14
,,,12,-7,,23,33,img_98.png,scratch,13
,14,126,,,181,,,img_99.png,void,11
