epsilon_r,layers,area,thickness,capacitance,resonant_frequency,esr
4058.131129049944,192,6.770693528221823e-06,1.6755935692622896e-05,2.361939699410485e-06,3290199.6546625844,0.004855354749539926
9531.785910894203,361,1.0756919533288316e-05,2.4993980210311535e-05,9.690574021968166e-06,1648737.3607688998,0.006329185488308804
7453.942447208348,45,2.1780195410078613e-05,4.733985688419927e-05,1.2741030917802945e-06,4625001.753962664,0.003703183354718727
6187.255599871848,379,2.353319956169361e-05,4.7331634546622506e-05,7.482446987580427e-06,1832468.9011990721,0.006399308003332459
1982.177084203147,46,2.482539087024707e-05,1.6067635948708076e-05,1.0681813406873495e-06,5037359.383175143,0.004140006166307886
1981.947943193925,23,2.402064367500452e-05,4.0689405875837425e-05,2.072950068396329e-07,10753723.053729009,0.0058612490916300315
1051.7943155978949,420,1.142602140264506e-06,3.0103258587536085e-05,9.830783775401174e-08,15941478.283972966,0.00414194244939422
8728.673384861884,132,2.145000194892929e-06,4.879874017416862e-05,3.992911445535323e-07,7803218.043462338,0.005635582100779266
6210.592611560483,92,4.542563659782128e-06,2.440306491584373e-05,9.07229566089843e-07,5367693.466870243,0.004043252068725773
7226.689489062433,168,9.372690322486556e-06,3.8960636532762514e-05,2.242483213731394e-06,3273443.732636485,0.0060389552422143045
695.5526958101233,338,2.091803274368701e-05,3.8638719351128684e-05,7.534961511068777e-07,5844605.747310013,0.0058457919596687615
9714.143595538946,111,2.2423748688051532e-05,2.5374210514020734e-05,7.562188065215015e-06,1784735.2166644083,0.004400332014965191
8408.205087604007,346,5.484025751069992e-06,3.998587560056808e-05,2.5670921204906148e-06,3251659.4395868736,0.005580191831596995
2517.2215514436234,92,1.5871939638873008e-05,1.3790976332042831e-05,1.9295170584561376e-06,3596108.9971804204,0.0059483770944334146
2227.337188467456,53,2.3016687641566638e-05,6.990398778221216e-06,3.1952406354181874e-06,2836866.9624482356,0.004077253984159288
2242.342843607621,77,1.2129561662351699e-05,2.18330234881105e-05,7.631269024716002e-07,5555202.995583592,0.003968334798003297
3390.301308115608,57,3.485045726866815e-06,4.723790217504565e-05,1.1331164998523724e-07,14504445.326444266,0.003952475018016597
5485.186100506259,66,1.1987527602030999e-05,2.553648580192391e-05,1.4218286142119888e-06,4155529.5428873026,0.0037902249581073647
